Transaction_ID,Transaction_Amount,Transaction_Type,Account_Balance,Device_Type,Location,Merchant_Category,Previous_Fraudulent_Activity,Daily_Transaction_Count,Avg_Transaction_Amount_7d,Failed_Transaction_Count_7d,Card_Type,Card_Age,Transaction_Distance,Authentication_Method,Risk_Score,Is_Weekend,Fraud_Label,hour,day_of_week
TXN_33553,39.79,POS,93213.17,Laptop,Sydney,Travel,0,7,437.63,3,Amex,65,883.17,Biometric,0.8494,0,0,19,Monday
TXN_9427,1.19,Bank Transfer,75725.25,Mobile,New York,Clothing,0,13,478.76,4,Mastercard,186,2203.36,Password,0.0959,0,1,4,Wednesday
TXN_199,28.96,Online,1588.96,Tablet,Mumbai,Restaurants,0,14,50.01,4,Visa,226,1909.29,Biometric,0.84,0,1,15,Tuesday
TXN_12447,254.32,ATM Withdrawal,76807.2,Tablet,New York,Clothing,0,8,182.48,4,Visa,76,1311.86,OTP,0.7935,0,1,0,Thursday
TXN_39489,31.28,POS,92354.66,Mobile,Mumbai,Electronics,1,14,328.69,4,Mastercard,140,966.98,Password,0.3819,1,1,23,Saturday
TXN_42724,168.55,Online,33236.94,Laptop,Tokyo,Restaurants,0,3,226.85,2,Discover,51,1725.64,OTP,0.0504,0,0,20,Monday
TXN_10822,3.79,POS,86834.18,Tablet,London,Restaurants,0,2,298.35,2,Mastercard,168,3757.19,Password,0.0875,0,0,1,Tuesday
TXN_49498,7.08,ATM Withdrawal,45826.27,Tablet,London,Restaurants,0,3,164.38,4,Discover,182,1764.66,Biometric,0.5326,0,1,3,Saturday
TXN_4144,34.25,ATM Withdrawal,94392.35,Tablet,Tokyo,Clothing,0,7,90.02,3,Visa,24,550.38,Biometric,0.1347,1,0,22,Thursday
TXN_36958,16.24,POS,91859.97,Mobile,Mumbai,Travel,0,6,474.42,1,Mastercard,124,720.91,PIN,0.3394,0,0,17,Wednesday
TXN_43106,367.5,POS,14640.09,Laptop,Mumbai,Electronics,0,4,397.58,0,Amex,136,292.36,PIN,0.643,0,0,7,Tuesday
TXN_38695,50.44,ATM Withdrawal,19962.22,Laptop,London,Travel,0,14,278.55,1,Discover,131,3993.62,PIN,0.4582,0,0,8,Sunday
