,0
remainder__Failed_Transaction_Count_7d,0.5473061380318947
remainder__Risk_Score,0.4185032687335935
remainder__Transaction_Amount,0.02068952257492274
cat__Device_Type_Laptop,0.0007392482183866879
cat__Authentication_Method_Biometric,0.0007291580603850686
cat__Device_Type_Mobile,0.0007196321233113863
cat__Card_Type_Mastercard,0.0007160033511283303
cat__Card_Type_Discover,0.0006999583073608854
cat__Card_Type_Amex,0.0006948199903402052
cat__Device_Type_Tablet,0.0006910217414413917
cat__Authentication_Method_Password,0.0006830797298219576
cat__Card_Type_Visa,0.0006750653556181677
cat__Transaction_Type_Bank Transfer,0.0006739153964302913
cat__Transaction_Type_Online,0.0006713631351224369
cat__Authentication_Method_PIN,0.0006612975681076343
cat__Transaction_Type_ATM Withdrawal,0.0006584103404707614
cat__Location_New York,0.0006581733153811455
cat__Authentication_Method_OTP,0.000656152376417274
cat__Location_Tokyo,0.0006528449304458665
cat__Location_London,0.0006513883545887887
cat__Transaction_Type_POS,0.0006355946690609743
cat__Location_Sydney,0.000622712417548561
cat__Location_Mumbai,0.0006112312782213654
